RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_organisations/institutions,SMG_organisations/institutions,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
42,14,16,1,3,1,1,1,1,2,2,0,5,8,3,1,1,"{""object_names"": [""SLEDGE METER""], ""makers"": [""S. Smith & Son""], ""organisations/institutions"": [""British Antarctic (Terra Nova) Expedition""], ""dates"": [""1910\u201313""], ""places"": [], ""descriptions"": [""This form of measuring wheel was constructed specially for use on frozen snow surface and ice, and was employed on all journeys made by the above expedition when much reliance had to be placed on dead reckoning."", ""The instrument has a trailing wheel of diam. 18 in. made of steel, with an aluminium band on its rim to prevent snow from clinging to the surface and with steel pegs fitted into the rim so as to enable the wheel to roll without slipping on ice surfaces."", ""The wheel is mounted in ball bearings upon a metal fork to which the recording mechanism is attached."", ""The gearing is completely enclosed and the dial gives reading in geographical miles, subdivided to 25 yd."", ""The fork is fixed to a wooden bar to which at the other end is attached a cross-head connected to the bar by a universal joint."", ""This permits the instrument to follow the track of a sledge without partaking of its lateral movements."", ""The instrument gave satisfactory readings over soft snow surfaces but registered too low on a very hard surface owing to the steel spikes giving a variable periphery.""], ""other"": [""Inv. 1914-111""]}","{""object_names"": [""sledge odometer"", ""Surveying odometer"", ""odometer""], ""makers"": [""S. Smith & Son Ltd.""], ""organisations/institutions"": [""Strand, City of Westminster, London, England, United Kingdom""], ""dates"": [""1900-1910""], ""places"": [""9 Strand, London, England"", ""Strand, City of Westminster, London, England, United Kingdom""], ""descriptions"": [""Used with the British Terra Nova Antarctic Expedition, 1910-1913."", ""patented""], ""other"": [""No.25318""]}"
43,10,12,1,3,1,1,0,1,1,1,1,3,5,2,1,1,"{""object_names"": [""GUNTER\u2019S CHAIN""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1922""], ""places"": [""England""], ""descriptions"": [""first employed about 1620"", ""The chain most generally used in England for land measurement is named after its inventor, Edmund Gunter"", ""so that 10 square chains equal one acre"", ""made of iron, with brass handles, as was formerly the custom"", ""This type has been replaced by the chain made of steel wire, of No. 8 or No. 12 B.W.G. which stretches much less than an iron chain after use""], ""other"": [""Inv. 1872-78""]}","{""object_names"": [""Gunter type measuring chain"", ""Gunter type surveying chain"", ""surveying chain""], ""makers"": [""Charles Baker""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1857-1865""], ""places"": [""244 High Holborn, London"", ""Holborn, Camden, London"", ""United Kingdom""], ""descriptions"": [""100 links (66 feet)"", ""Surveying""], ""other"": [""Baker, Charles""]}"
44,10,12,1,1,1,1,1,1,1,2,0,3,5,3,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""representative of the modern land surveyor\u2019s chain"", ""made of No. 12 B.W.G. steel wire"", ""with brass handles"", ""and brass tellers every 10 links"", ""A central swivel is fitted to obviate kinks when the chain is twisted in use"", ""When not in use, the chain is folded up in the manner shown, and bound together with a leather strap""], ""other"": [""Inv. 1914-845""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1900-1910""], ""places"": [""Sheffield, England"", ""United Kingdom""], ""descriptions"": [""Land surveying chain measure"", ""Surveying surveying chain; surveying chain""], ""other"": []}"
45,14,11,1,2,1,1,1,1,1,1,0,3,9,3,1,0,"{""object_names"": [""STEEL MEASURING BAND""], ""makers"": [""J. Chesterman & Co.""], ""organisations/institutions"": [""Meteorology Catalogue 1922""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""A steel band of this type is preferred to a chain by many land surveyors, partly because, length for length, it is lighter and also because it preserves its length much better after the strain of constant usage. On the other hand, it is not so durable as a chain, nor so easily read."", ""The example shown is 50 ft. long, and is divided every foot, the two terminal feet being subdivided into inches."", ""The divisions are marked by brass studs of various sizes, an oval plate being substituted for the stud at every 10 ft. and marked by perforation to show the length from the nearer end."", ""The handles are made of brass, with swivel joints."", ""The whole is wound up in a metal case which has a narrow slit for inserting the handle at one end."", ""A strap is attached to the case for carrying it."", ""The band is 5/8 in. wide"", ""of No. 26 B.W.G. thickness"", ""Made and lent by J. Chesterman & Co.""], ""other"": [""Inv. 1914-846""]}","{""object_names"": [""50-Foot tape measure"", ""Steel measuring tape""], ""makers"": [""J. Chesterman and Co., Sheffield, England""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1914""], ""places"": [""Sheffield, England"", ""England"", ""United Kingdom""], ""descriptions"": [""Surveying steel measuring tape"", ""steel measuring tape""], ""other"": []}"
46,9,11,1,2,1,1,1,1,1,1,0,3,4,3,1,0,"{""object_names"": [""STEEL MEASURING TAPE""], ""makers"": [], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""accurately graduated steel tape of this type is extensively used for short measurements"", ""10 m. long"", ""graduated throughout in millimetres"", ""$\frac{5}{8}$ in. wide"", ""No. 34 B.W.G. thickness"", ""When not in use, it is wound up in the leather case as shown""], ""other"": [""Inv. 1914-847""]}","{""object_names"": [""10 metre tape measure"", ""Surveying steel measuring tape""], ""makers"": [""J. C. Chesterman of Sheffield, England""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1905""], ""places"": [""Sheffield"", ""England"", ""United Kingdom""], ""descriptions"": [""10 metre steel measuring tape in leather case"", ""J. Chesterman & Co. Limited""], ""other"": []}"
47,14,6,1,1,1,0,1,0,3,1,2,1,5,2,1,1,"{""object_names"": [], ""makers"": [""Captain H. G. Lyons, F.R.S.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922"", ""1861"", ""ten or twelve centuries""], ""places"": [""Syria"", ""Egypt""], ""descriptions"": [""a rod, Arabic"", ""employed in land surveying"", ""actual length varied considerably at different times and in different parts of the country"", ""defined as being equal to 3\u00b755 m."", ""unit of area (feddan) then becoming 333\u001a square qassabas instead of 400"", ""with its ends tipped with metal"", ""photographs showing the rod in use""], ""other"": [""Inv. 1912-244""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Egyptian land-measuring rod"", ""with photograph (silver print)"", ""Surveying photograph"", ""photograph 1912""], ""other"": []}"
48,9,11,1,2,1,1,1,1,1,1,2,3,2,2,1,1,"{""object_names"": [""WOODEN MEASURING RODS""], ""makers"": [], ""organisations/institutions"": [""W\u00fcrtemburg""], ""dates"": [""1922""], ""places"": [""Germany""], ""descriptions"": [""commonly used in Germany in land-measurement"", ""have been in use in W\u00fcrtemburg for several centuries""], ""other"": [""Inv. 1914-257""]}","{""object_names"": [""Pair of 5 metre measuring rods"", ""Surveying measuring rods""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""c. 1910""], ""places"": [""Kassel"", ""Hesse""], ""descriptions"": [""oval section"", ""measuring rods""], ""other"": [""1910""]}"
49,11,11,1,1,1,1,0,1,1,1,1,3,6,4,1,0,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Cassel""], ""descriptions"": [""square section"", ""wedge-shaped metal ends, which abut at right angles when the rods are laid in contact"", ""In one rod the metres are painted alternately red and white; in the other, black and white"", ""Each rod is 5 m. long, graduated in decimetres"", ""Their length is verified before use by laying each rod on a test-bed provided with chisel-shaped stops at a known distance apart"", ""By measuring the interval between the rod and the test-bed with a measuring wedge the length of the rod is obtained""], ""other"": [""Inv. 1914-258""]}","{""object_names"": [""Pair of 5 metre Measuring Rods""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""c. 1900""], ""places"": [""Kassel"", ""Hesse"", ""Germany""], ""descriptions"": [""Surveying measuring rods"", ""measuring rods"", ""Otto Fennel S\u00f6hne""], ""other"": []}"
50,10,7,1,1,1,1,0,0,1,1,1,2,5,2,1,0,"{""object_names"": [""STEEL MEASURING WEDGE""], ""makers"": [""O. Fennel, Cassel""], ""organisations/institutions"": [], ""dates"": [""1922""], ""places"": [""Cassel""], ""descriptions"": [""Made by O. Fennel, Cassel."", ""In comparing a wooden measuring rod of the type used in cadastral surveys with the corresponding standard, it is usually necessary to measure very accurately the small distance between one end of the rod and the end of the standard. For this purpose, a steel measuring wedge of uniformly varying thickness is inserted between the two terminals."", ""The one exhibited has a uniform variation in thickness of 1 mm. per 1 cm. of its length."", ""Its length is graduated in millimetres, reading by estimation to tenth-millimetres, and thus giving the corresponding thickness to 0\u00b701 mm., within a range of error of 0\u00b701 mm."", ""(See \""Handbuch der Vermessungskunde,\"" Jordan, Bd. II, Section 20.)""], ""other"": [""Inv. 1914-259""]}","{""object_names"": [""Steel measuring wedge""], ""makers"": [""Otto Fennel und Soehne"", ""Otto Fennel S\u00f6hne""], ""organisations/institutions"": [], ""dates"": [""c. 1910""], ""places"": [""Kassel, Hesse, Germany""], ""descriptions"": [""Surveying measuring wedge; measuring wedge""], ""other"": []}"
51,18,9,1,1,1,1,1,0,2,1,2,1,10,3,1,2,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Royal Society""], ""dates"": [""1784"", ""1787""], ""places"": [""Hounslow Heath"", ""Romney Marsh""], ""descriptions"": [""This chain was first used by General Roy in measuring the Hounslow Heath base in 1784."", ""Although it was only used as a preliminary to more precise measurements with both fir and glass rods, General Roy was so impressed by its accuracy that, in measuring the base of verification on Romney Marsh in 1787, he used the chain only, and discarded the wooden and glass rods."", ""The chain has 100 links, each 1 ft. long."", ""The joints at every 10 ft. are at right angles to the remainder, which permits the chain to be folded so as to fit into a box about 14 in. by 8 in. by 8 in. for transport."", ""Brass plates are attached at the joints to indicate 10 ft. lengths along the chain."", ""In the rough measurement of the Hounslow Heath base, the chain appears to have been simply stretched along the ground, but in the measurement at Romney Marsh it was supported on deal coffers, 20 ft. long, resting on carefully aligned posts driven into the ground every 20 ft. along the base."", ""Thus supported, the chain was stretched by a weight of 28 lb., the temperature being measured by thermometers laid in the coffers near the chain."", ""General Roy"", ""fir rods"", ""glass rods""], ""other"": [""STEEL CHAIN""]}","{""object_names"": [""100 Link Steel Surveying Chain""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1784""], ""places"": [""London""], ""descriptions"": [""100 link chain made by Ramsden, used by General Roy in 1784 and 1787"", ""surveying chains"", ""surveying chains 1784""], ""other"": [""Inv. 1900-156"", ""Ramsden, J. (Jesse), 1735-1800""]}"
52,16,7,1,1,1,1,1,0,1,1,1,2,10,2,1,0,"{""object_names"": [""BONING TELESCOPE""], ""makers"": [""General Roy""], ""organisations/institutions"": [""Royal Society""], ""dates"": [""1784"", ""1785""], ""places"": [""Hounslow Heath""], ""descriptions"": [""Measuring the Hounslow Heath base"", ""Divided the base into sections of 200 yd."", ""Erected tripods of fixed height for supporting the measuring rods at each division point"", ""Sections were subdivided into segments of 20 ft."", ""Corresponding to the lengths of the deal measuring rods used"", ""Intermediate tripods set up at the subdivision points with their platforms adjusted so as to be in the line connecting the platforms of the tripods at each end of the section"", ""Used to sight between the two terminal tripods upon boning rods set up at the subdivision points"", ""Movable vanes of these rods being adjusted until their index lines lay on the axis of sight of the telescope"", ""Height of the intermediate tripods was thus ascertained"", ""Rack-focussing objective lens of 1\u00b72 in. aperture and 13 in. focal length"", ""Fixed eyepiece of the Huygens type"", ""Fixed cross-wire diaphragm between the two lenses"", ""Magnifying power of the eyepiece is small"", ""Telescope can be focussed down to a few feet"", ""Square brass collars shrunk on to its tube near each end to support it upon the platform of the tripod""], ""other"": [""Inv. 1900-157""]}","{""object_names"": [""Telescope""], ""makers"": [""General Roy""], ""organisations/institutions"": [], ""dates"": [""1784""], ""places"": [""Paris"", ""Greenwich""], ""descriptions"": [""Used for measuring base line to link Paris and Greenwich"", ""With box"", ""Surveying base line measurement; base line measurement""], ""other"": []}"
53,17,12,1,1,1,1,1,1,1,1,1,4,11,3,1,1,"{""object_names"": [""Struve\u2019s Base Apparatus""], ""makers"": [""W. Struve""], ""organisations/institutions"": [""Pulkowa Observatory""], ""dates"": [""1817\u20131855""], ""places"": [""Russia""], ""descriptions"": [""designed by W. Struve"", ""used by him in measuring seven bases of the principal triangulation of Russia, 1817\u20131855"", ""consists of four wrought iron bars enclosed in wooden cases, supported near the ends on trestles"", ""chief peculiarity of the bars is the use of spring contact levers"", ""temperature was measured directly by thermometers whose bulbs rested in cavities in the bar"", ""Struve estimated the mean probable error of his bases as 1 in 7,250,000"", ""Each iron bar is 2 toises (nearly 4 m.) long, and has a square section of 3\u00b74 cm. side"", ""It terminates at one end in a small steel cylinder, having a slightly convex outer face"", ""To the other end is pivoted a lever with unequal arms"", ""On the lower arm is a polished hemisphere, pushed outwards from the bar by a weak spring"", ""The steel cylinder of the adjacent bar makes contact with this hemisphere, and forces the longer arm of the lever to traverse a vertical graduated scale"", ""Any slight variation in length of the bar is correspondingly magnified by the lever on the scale, and can be accurately measured"", ""Two mercury thermometers are placed with their bulbs in recesses in each bar, and serve to measure the temperature directly"", ""There is also a spirit level attached to determine the inclination of the bar"", ""(See \u201cEncyclop\u00e6dia Britannica,\u201d XI Edition, Article \u201c Geodesy.\u201d)""], ""other"": [""Inv. 1876-1211""]}","{""object_names"": [""Photograph of surveying base-line apparatus""], ""makers"": [""Friedrich Georg Wilhelm Struve""], ""organisations/institutions"": [""Pulkowa Observatory, St. Petersburg, Russia""], ""dates"": [""1870-1876""], ""places"": [""St Petersburg"", ""St Petersburg, Leningrad"", ""Rossiya"", ""Russia""], ""descriptions"": [""Russian"", ""Photograph in glazed frame"", ""as used in Russia (1817-1855)""], ""other"": [""Surveying positive - photograph; positive - photograph""]}"
54,18,11,2,2,1,1,2,1,1,1,1,3,9,2,2,1,"{""object_names"": [""\""INVAR\"" MEASURING TAPE""], ""makers"": [], ""organisations/institutions"": [""National Physical Laboratory"", ""Guillaume et Benoit""], ""dates"": [""1896"", ""1916""], ""places"": [""Paris""], ""descriptions"": [""nickel-steel alloy containing from 35 per cent, to 36 per cent. nickel"", ""discovered by Dr. C. E. Guillaume"", ""low coefficient of expansion for temperature, which is not greater than 1\u00b70 x 10\u207b\u2076 per \u00b0C"", ""application of this alloy to geodesy"", ""difficulty of ascertaining the exact mean temperature of a metal measuring unit"", ""precise length of the unit at the time of measurement"", ""effect of an error of this type is directly proportional to the expansibility of the metal"", ""use of \""invar\"" wires or tapes, suspended under a constant tension of about 10 kg., according to J\u00e4derin\u2019s method, is now almost universal in measuring bases for triangulation of the first or second order"", ""scales divided to read two-hundredths of a foot at each end"", ""length between its zero marks at each end is 100\u00b7001 ft. at 58\u00b75\u00b0 F., under a tension of 10 kg., with an accuracy of 1 in 100,000"", ""width of the tape is 5 mm."", ""thickness 0\u00b75 mm."", ""wound upon an aluminium drum of 16 in. diam., which can rotate upon its pivot as the reel is unwound""], ""other"": [""Inv. 1912-245""]}","{""object_names"": [""100-Foot invar tape measure"", ""Surveying tape measure""], ""makers"": [""Agar Baugh, J. H.""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""London, England"", ""United Kingdom""], ""descriptions"": [""British"", ""on aluminium reel"", ""92 Hatton Garden, London, England"", ""tape measure""], ""other"": []}"
55,11,8,1,1,1,1,1,1,1,1,0,1,6,3,1,0,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Admiralty""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""designed by Capt. G. H. Blakey, R.N. for determining the distance of a ship on the assumption that the height of its mast is known, and that the mast is perpendicular to the direction of the ship from the observer"", ""merely a telescopic sighting tube having a pin-hole aperture and pairs of parallel wires set at known intervals apart near the object end of the tube"", ""The distance of these wires from the aperture is given by the graduated scales on the telescopic tube."", ""In using the instrument, the mast of the distant ship is viewed and the sighting tube telescoped until the mast lies exactly between a pair of wires. On reading the length of the tube, i.e. from aperture to wires, the range of the mast will be in the same ratio to this length as the mast is to the interval between the wires. As these last two lengths are known, the range is readily calculated, or can be obtained directly from the tables supplied with the instrument."", ""Two mutually perpendicular pairs of parallel wires are fitted in the instrument exhibited, at intervals of one tenth and one twentieth of a foot respectively. A table corresponding to the former interval for lengths of masts between 100 and 200 ft., and all possible lengths of sighting tube is printed on the tube and gives the corresponding ranges in yards. For the smaller interval, these ranges are of course to be doubled."", ""Measurements of distance by this apparatus can only be very approximate owing to the absence of magnification, uncertainty as regards the length of the mast and its inclination to the line of sight, etc.""], ""other"": [""Inv. 1876-1209""]}","{""object_names"": [""Stadiometer (telemeter)"", ""Surveying telemeter"", ""telemeter""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1825-1835""], ""places"": [""Devonport, Plymouth, England, United Kingdom""], ""descriptions"": [""Blakey type"", ""by W. Heath, Devonport, Plymouth, England"", ""Blakey type""], ""other"": []}"
56,15,8,1,2,1,1,1,1,3,1,1,1,7,2,1,0,"{""object_names"": [""STUART\u2019S DISTANCE METER""], ""makers"": [""T. H. Court, Esq.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922"", ""1895"", ""1915""], ""places"": [""sea""], ""descriptions"": [""Assuming that the length of a distant ship\u2019s mast is known, its range can be found by this instrument, which was designed in 1895 for use at sea."", ""Two images of the mast are seen in the field of the telescope, one formed by light rays traversing a fixed prism of constant angle, and the other by rays traversing a movable prism of varying angle."", ""These images are made to approach each other until the lower limit of one is level with the upper limit of the other by sliding the movable prism, when the position of an index attached to this permits the range to be read."", ""The movable prism consists of a thin piece of glass, ground concave on both faces, and is attached to a slide worked by a tangent screw."", ""It thus forms a prism of varying angle in front of one half of the telescope, the other half being occupied by the fixed constant angle prism."", ""Ranges up to 3 miles can be read to the nearest tenth of a mile."", ""for use at sea""], ""other"": [""Inv. 1915-399""]}","{""object_names"": [""Marine distance meter"", ""Surveying distance meter; distance meter""], ""makers"": [""Stuart (designer)""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1895""], ""places"": [""United Kingdom""], ""descriptions"": [""Stuart's Distance Meter"", ""for use at sea""], ""other"": []}"
57,11,5,1,3,1,0,0,0,1,1,0,0,7,1,1,0,"{""object_names"": [], ""makers"": [""T. H. Court, Esq.""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""instrument is used to measure ranges in the ordinary manner, by solving a very acute right-angled triangle"", ""angle subtended at the distant point is constant, whilst the base is variable, and is measured by pacing"", ""Three reflecting right-angled prisms are mounted by hinged joints near the objective of a small telescope, so that any one of the three can be set to reflect rays axially along the telescope from directions at 90\u00b0, 88\u00b0 51\u2032 15\u2033 and 74\u00b0 53\u2032 15\u2033 respectively"", ""The first prism is used to set off the base at right angles to the direction of the distant object"", ""observer paces in the line of the base until, using one of the other two prisms, he again sees the object by reflection"", ""For both observations the telescope is directed to view another distant point at right angles to the target, i.e., in the direction of the base"", ""number of paces taken between the two observations, multiplied by a constant depending upon the length of pace and the reflecting angle of the second prism used, gives the required range"", ""The constant is determined experimentally""], ""other"": [""Inv. 1911-151""]}","{""object_names"": [""Surveying telemeter"", ""telemeter""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""object is a telemeter""], ""other"": []}"
58,22,6,1,1,1,1,2,1,1,1,1,0,15,2,1,0,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""French army"", ""French artillery officer""], ""dates"": [], ""places"": [""Paris""], ""descriptions"": [""designed by Capt. Gautier"", ""has been extensively used in the French army"", ""Its main feature is a thin prism mounted in a ring at the object end of the sighting tube."", ""By rotating the ring the deviation of rays in the plane of the distant object and the horizontal through the instrument can be varied continuously, and the ring calibrated correspondingly."", ""The sighting tube is about 5 in. long by 1\u00b75 in. diam."", ""has a protecting tube which can be fitted underneath to serve as a hand-grip when observations are being made."", ""has a pair of plane mirrors having their faces inclined to each other at an angle of about 45\u00b0"", ""so inclined to the optical axis that rays incident through a window in the side of the tube in a direction nearly perpendicular to the axis, are doubly reflected at the mirrors into the line of the axis, and pass through a small telescope at the eye end of the tube."", ""In the instrument shown, two such telescopes of different powers are fixed side by side."", ""One of the mirrors can be slightly rotated so as to vary the angle of deviation of the reflected rays."", ""In using the instrument, the observer sets the range scale on the movable ring at \u201cinfinity\u201d and the index of the movable mirror at the centre."", ""He views the distant object by double reflection at the mirrors and looks directly through the tube and prism for a convenient aiming mark."", ""If such a mark is not quite co-incident with the image of the distant object, he rotates the mirror until coincidence occurs."", ""The movable ring is really calibrated to record the reciprocal of the angle of deviation caused by the prism, which is the same as the reciprocal of the angle subtended. by the base at the object."", ""As this base has been made nearly perpendicular to the direction of the object, the product of its length and the reciprocal of the angle gives the range."", ""Thus any convenient base length can be used subject to the condition that it subtends an angle of not more than 3\u00b0 at the distant object."", ""(See \u201c Notice sur le T\u00e9l\u00e9m\u00e8tre de Poche,\u201d by A. Gautier, Paris.)""], ""other"": [""Inv. 1910-126""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Surveying telemeter"", ""telemeter""], ""other"": []}"
59,24,14,2,2,1,1,2,1,5,2,1,3,10,3,3,2,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Admiralty"", ""Barr and Stroud""], ""dates"": [""1860"", ""1909-139""], ""places"": [""East Coast of England""], ""descriptions"": [""type of rangefinder"", ""extensively used by the Admiralty until superseded by the Barr and Stroud pattern"", ""example shown was used on H.M.S. \u201cTriton\u201d"", ""rangefinder consists of two systems of lenses and right-angled reflecting prisms mounted in a 3-ft. metal tube of square section"", ""Each system forms a \u201cbroken\u201d telescope, the objectives being at each end of the tube, along which the rays, originally perpendicular to it, are deflected by right-angled prisms to the centre, where they are again reflected at right angles into the common central eye-piece"", ""In this manner two images of a distant object whose direction is nearly perpendicular to the axis of the tube are obtained, one through each system"", ""These images will be separated laterally by an interval which diminishes continuously as the range increases, but does not become zero until the object is at an infinite distance"", ""If the objective lens and two prisms of one system are separately mounted and can be rotated with respect to the other system, the two images may be made to coincide by such a rotation, and the angle of rotation necessary will vary inversely as the range of the object"", ""This angle can be obtained by calculation, or a table of corresponding values"", ""In the instrument exhibited such an arrangement is effected by mounting one object lens and its pair of reflecting prisms in a separate tube within the main tube containing the other set, and pivoted to this so that the rotation can be effected by a screw threaded in the outer tube with its end pressing against the inner"", ""The angle of rotation is measured by a vernier on one tube and a scale nearest second of arc, and the range read off on a table fixed to the outer leather protecting cover""], ""other"": [""Inv. 1909-139"", ""British Patent, 1860, No. 357; and 1863, No. 608.""]}","{""object_names"": [], ""makers"": [""Adie & Son""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Edinburgh, Scotland, United Kingdom""], ""descriptions"": [""3 ft base line"", ""Surveying telemeter""], ""other"": [""c.1885""]}"
60,11,13,1,3,1,1,2,0,2,2,1,3,3,3,1,1,"{""object_names"": [""BARR AND STROUD RANGEFINDER ON NAVAL MOUNTING""], ""makers"": [""Messrs. Barr & Stroud, Ltd.""], ""organisations/institutions"": [""Weddell Sea Antarctic expedition"", ""British Antarctic expedition""], ""dates"": [""1902-04 / 1910-13 (Period of use)""], ""places"": [""Weddell Sea""], ""descriptions"": [""Lent by Messrs. Barr & Stroud, Ltd."", ""used by Dr. Bruce"", ""used by Capt. R. F. Scott, R.N.""], ""other"": [""Scotia"", ""Terra Nova""]}","{""object_names"": [""Optical range-finder"", ""Barr and Stroud range-finder"", ""Surveying parallax range-finder; parallax range-finder""], ""makers"": [""Barr and Stroud""], ""organisations/institutions"": [], ""dates"": [""1900""], ""places"": [""Glasgow"", ""Glasgow, Scotland"", ""United Kingdom""], ""descriptions"": [""British"", ""4ft 6ins base"", ""used aboard ship""], ""other"": [""1900 Glasgow, Glasgow, Scotland, United Kingdom Barr and Stroud""]}"
61,9,11,1,1,1,1,0,1,1,1,0,4,5,2,1,1,"{""object_names"": [""TACHEOMETER""], ""makers"": [""Troughton & Simms""], ""organisations/institutions"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""A Porro \""anallatic\"" lens is inserted between the objective and eye lenses of this instrument and its horizontal and vertical circles are divided centesimally. It is used in conjunction with a graduated tacheometric staff, upon which the interval subtended between the fixed cross wire varies directly as the distance of the staff from the transverse axis of the instrument, which is itself vertically above the observing station point.""], ""other"": [""Inv. 1890-55""]}","{""object_names"": [""Tacheometer with slide rule and components""], ""makers"": [""Troughton & Simms""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1885-1895""], ""places"": [""London"", ""Fleet Street, City of London"", ""London, England"", ""United Kingdom""], ""descriptions"": [""4-inch"", ""Sighting tube has been sectioned. Surveying tacheometer; tacheometer""], ""other"": [""staff, slide rule and tables""]}"
62,15,10,2,2,1,2,1,1,1,1,1,3,8,1,1,0,"{""object_names"": [""GENTILLI'S TACHEOMETER""], ""makers"": [""St\u00e4rke & Kammerer""], ""organisations/institutions"": [""St\u00e4rke""], ""dates"": [""1922""], ""places"": [""Vienna""], ""descriptions"": [""To convert a theodolite into a tacheometer for measuring distances, many devices have been proposed which permit the telescope, when directed upon a graduated staff, to be displaced through a constant small angle, whose limits are determined by two mechanical stops. The distance so measured on the staff will vary directly as the horizontal distance of the staff from the observing station and inversely as the square of the cosine of the altitude angle. As the latter is known, the former can be calculated by using special tables. In the tacheometer invented about 1868 by A. Gentilli, the Austrian engineer, a rigid vertical arm can be clamped to the transverse axis of the telescope in any position. The lower end of this arm can only move a short distance, being limited by two mechanical stops. Consequently the vertical angle through which the telescope can move when clamped to the arm is likewise limited. The instrument in other respects is like an ordinary theodolite of the type made by St\u00e4rke about this period. It has a 5-in. horizontal circle and a 3.5-in. vertical quadrant, both reading by vernier and reading microscope to 30'' and having the usual clamps and tangent screws. The telescope has an objective lens of 12 in. focal length and 1.5 in. aperture. The instrument has four levelling screws, two small spirit levels mutually perpendicular on the horizontal circle, and a more sensitive one on the telescope.""], ""other"": [""Inv. 1876-1205""]}","{""object_names"": [""Gentilli type tacheometer""], ""makers"": [""Starke & Kammerer""], ""organisations/institutions"": [], ""dates"": [""1868-1876""], ""places"": [""Austria"", ""Vienna, Wien, Austria""], ""descriptions"": [""Surveying tacheometer; tacheometer""], ""other"": []}"
